,Susceptible,Exposed,Infected,Resistant,Dead,Common,Variant
1339,238,0,0,96,869,1200,3
1340,238,0,0,96,869,1200,3
1341,238,0,0,96,869,1200,3
1342,238,0,0,96,869,1200,3
1343,238,0,0,96,869,1200,3
1344,238,0,0,96,869,1200,3
1345,238,0,0,96,869,1200,3
1346,238,0,0,96,869,1200,3
1347,238,0,0,96,869,1200,3
1348,238,0,0,96,869,1200,3
1349,238,0,0,96,869,1200,3
1350,238,0,0,96,869,1200,3
1351,238,0,0,96,869,1200,3
1352,238,0,0,96,869,1200,3
1353,238,0,0,96,869,1200,3
1354,238,0,0,96,869,1200,3
1355,238,0,0,96,869,1200,3
1356,238,0,0,96,869,1200,3
1357,238,0,0,96,869,1200,3
1358,238,0,0,96,869,1200,3
1359,238,0,0,96,869,1200,3
1360,238,0,0,96,869,1200,3
1361,238,0,0,96,869,1200,3
1362,238,0,0,96,869,1200,3
1363,238,0,0,96,869,1200,3
1364,238,0,0,96,869,1200,3
1365,238,0,0,96,869,1200,3
1366,238,0,0,96,869,1200,3
1367,238,0,0,96,869,1200,3
1368,238,0,0,96,869,1200,3
1369,238,0,0,96,869,1200,3
1370,238,0,0,96,869,1200,3
1371,238,0,0,96,869,1200,3
1372,238,0,0,96,869,1200,3
1373,238,0,0,96,869,1200,3
1374,238,0,0,96,869,1200,3
1375,238,0,0,96,869,1200,3
1376,238,0,0,96,869,1200,3
1377,238,0,0,96,869,1200,3
1378,238,0,0,96,869,1200,3
1379,238,0,0,96,869,1200,3
1380,238,0,0,96,869,1200,3
1381,238,0,0,96,869,1200,3
1382,238,0,0,96,869,1200,3
1383,238,0,0,96,869,1200,3
1384,238,0,0,96,869,1200,3
1385,238,0,0,96,869,1200,3
1386,238,0,0,96,869,1200,3
1387,238,0,0,96,869,1200,3
1388,238,0,0,96,869,1200,3
1389,238,0,0,96,869,1200,3
1390,238,0,0,96,869,1200,3
1391,238,0,0,96,869,1200,3
1392,238,0,0,96,869,1200,3
1393,238,0,0,96,869,1200,3
1394,238,0,0,96,869,1200,3
1395,238,0,0,96,869,1200,3
1396,238,0,0,96,869,1200,3
1397,238,0,0,96,869,1200,3
1398,238,0,0,96,869,1200,3
1399,238,0,0,96,869,1200,3
1400,238,0,0,96,869,1200,3
1401,238,0,0,96,869,1200,3
1402,238,0,0,96,869,1200,3
1403,238,0,0,96,869,1200,3
1404,238,0,0,96,869,1200,3
1405,238,0,0,96,869,1200,3
1406,238,0,0,96,869,1200,3
1407,238,0,0,96,869,1200,3
1408,238,0,0,96,869,1200,3
1409,238,0,0,96,869,1200,3
1410,238,0,0,96,869,1200,3
1411,238,0,0,96,869,1200,3
1412,238,0,0,96,869,1200,3
1413,238,0,0,96,869,1200,3
1414,238,0,0,96,869,1200,3
1415,238,0,0,96,869,1200,3
1416,238,0,0,96,869,1200,3
1417,238,0,0,96,869,1200,3
1418,238,0,0,96,869,1200,3
1419,238,0,0,96,869,1200,3
1420,238,0,0,96,869,1200,3
1421,238,0,0,96,869,1200,3
1422,238,0,0,96,869,1200,3
1423,238,0,0,96,869,1200,3
1424,238,0,0,96,869,1200,3
1425,238,0,0,96,869,1200,3
1426,238,0,0,96,869,1200,3
1427,238,0,0,96,869,1200,3
1428,238,0,0,96,869,1200,3
1429,238,0,0,96,869,1200,3
1430,238,0,0,96,869,1200,3
1431,238,0,0,96,869,1200,3
1432,238,0,0,96,869,1200,3
1433,238,0,0,96,869,1200,3
1434,238,0,0,96,869,1200,3
1435,238,0,0,96,869,1200,3
1436,238,0,0,96,869,1200,3
1437,238,0,0,96,869,1200,3
1438,238,0,0,96,869,1200,3
1439,238,0,0,96,869,1200,3
1440,238,0,0,96,869,1200,3
1441,238,0,0,96,869,1200,3
1442,238,0,0,96,869,1200,3
1443,238,0,0,96,869,1200,3
1444,238,0,0,96,869,1200,3
1445,238,0,0,96,869,1200,3
1446,238,0,0,96,869,1200,3
1447,238,0,0,96,869,1200,3
1448,238,0,0,96,869,1200,3
1449,238,0,0,96,869,1200,3
1450,238,0,0,96,869,1200,3
1451,238,0,0,96,869,1200,3
1452,238,0,0,96,869,1200,3
1453,238,0,0,96,869,1200,3
1454,238,0,0,96,869,1200,3
1455,238,0,0,96,869,1200,3
1456,238,0,0,96,869,1200,3
1457,238,0,0,96,869,1200,3
1458,238,0,0,96,869,1200,3
1459,238,0,0,96,869,1200,3
1460,238,0,0,96,869,1200,3
1461,238,0,0,96,869,1200,3
1462,238,0,0,96,869,1200,3
1463,238,0,0,96,869,1200,3
1464,238,0,0,96,869,1200,3
1465,238,0,0,96,869,1200,3
1466,238,0,0,96,869,1200,3
1467,238,0,0,96,869,1200,3
1468,238,0,0,96,869,1200,3
1469,238,0,0,96,869,1200,3
1470,238,0,0,96,869,1200,3
1471,238,0,0,96,869,1200,3
1472,238,0,0,96,869,1200,3
1473,238,0,0,96,869,1200,3
1474,238,0,0,96,869,1200,3
1475,238,0,0,96,869,1200,3
1476,238,0,0,96,869,1200,3
1477,238,0,0,96,869,1200,3
1478,238,0,0,96,869,1200,3
1479,238,0,0,96,869,1200,3
1480,238,0,0,96,869,1200,3
1481,238,0,0,96,869,1200,3
1482,238,0,0,96,869,1200,3
1483,238,0,0,96,869,1200,3
1484,238,0,0,96,869,1200,3
1485,238,0,0,96,869,1200,3
1486,238,0,0,96,869,1200,3
1487,238,0,0,96,869,1200,3
1488,238,0,0,96,869,1200,3
1489,238,0,0,96,869,1200,3
1490,238,0,0,96,869,1200,3
1491,238,0,0,96,869,1200,3
1492,238,0,0,96,869,1200,3
1493,238,0,0,96,869,1200,3
1494,238,0,0,96,869,1200,3
1495,238,0,0,96,869,1200,3
1496,238,0,0,96,869,1200,3
1497,238,0,0,96,869,1200,3
1498,238,0,0,96,869,1200,3
1499,238,0,0,96,869,1200,3
1500,238,0,0,96,869,1200,3
1501,238,0,0,96,869,1200,3
1502,238,0,0,96,869,1200,3
1503,238,0,0,96,869,1200,3
1504,238,0,0,96,869,1200,3
1505,238,0,0,96,869,1200,3
1506,238,0,0,96,869,1200,3
1507,238,0,0,96,869,1200,3
1508,238,0,0,96,869,1200,3
1509,238,0,0,96,869,1200,3
1510,238,0,0,96,869,1200,3
1511,238,0,0,96,869,1200,3
1512,238,0,0,96,869,1200,3
1513,238,0,0,96,869,1200,3
1514,238,0,0,96,869,1200,3
1515,238,0,0,96,869,1200,3
1516,238,0,0,96,869,1200,3
1517,238,0,0,96,869,1200,3
1518,238,0,0,96,869,1200,3
1519,238,0,0,96,869,1200,3
1520,238,0,0,96,869,1200,3
1521,238,0,0,96,869,1200,3
1522,238,0,0,96,869,1200,3
1523,238,0,0,96,869,1200,3
1524,238,0,0,96,869,1200,3
1525,238,0,0,96,869,1200,3
1526,238,0,0,96,869,1200,3
1527,238,0,0,96,869,1200,3
1528,238,0,0,96,869,1200,3
1529,238,0,0,96,869,1200,3
1530,238,0,0,96,869,1200,3
1531,238,0,0,96,869,1200,3
1532,238,0,0,96,869,1200,3
1533,238,0,0,96,869,1200,3
1534,238,0,0,96,869,1200,3
1535,238,0,0,96,869,1200,3
1536,238,0,0,96,869,1200,3
1537,238,0,0,96,869,1200,3
1538,238,0,0,96,869,1200,3
1539,238,0,0,96,869,1200,3
1540,238,0,0,96,869,1200,3
1541,238,0,0,96,869,1200,3
1542,238,0,0,96,869,1200,3
1543,238,0,0,96,869,1200,3
1544,238,0,0,96,869,1200,3
1545,238,0,0,96,869,1200,3
1546,238,0,0,96,869,1200,3
1547,238,0,0,96,869,1200,3
1548,238,0,0,96,869,1200,3
1549,238,0,0,96,869,1200,3
1550,238,0,0,96,869,1200,3
1551,238,0,0,96,869,1200,3
1552,238,0,0,96,869,1200,3
1553,238,0,0,96,869,1200,3
1554,238,0,0,96,869,1200,3
1555,238,0,0,96,869,1200,3
1556,238,0,0,96,869,1200,3
1557,238,0,0,96,869,1200,3
1558,238,0,0,96,869,1200,3
1559,238,0,0,96,869,1200,3
1560,238,0,0,96,869,1200,3
1561,238,0,0,96,869,1200,3
1562,238,0,0,96,869,1200,3
1563,238,0,0,96,869,1200,3
1564,238,0,0,96,869,1200,3
1565,238,0,0,96,869,1200,3
1566,238,0,0,96,869,1200,3
1567,238,0,0,96,869,1200,3
1568,238,0,0,96,869,1200,3
1569,238,0,0,96,869,1200,3
1570,238,0,0,96,869,1200,3
1571,238,0,0,96,869,1200,3
1572,238,0,0,96,869,1200,3
1573,238,0,0,96,869,1200,3
1574,238,0,0,96,869,1200,3
1575,238,0,0,96,869,1200,3
1576,238,0,0,96,869,1200,3
1577,238,0,0,96,869,1200,3
1578,238,0,0,96,869,1200,3
1579,238,0,0,96,869,1200,3
1580,238,0,0,96,869,1200,3
1581,238,0,0,96,869,1200,3
1582,238,0,0,96,869,1200,3
1583,238,0,0,96,869,1200,3
1584,238,0,0,96,869,1200,3
1585,238,0,0,96,869,1200,3
1586,238,0,0,96,869,1200,3
1587,238,0,0,96,869,1200,3
1588,238,0,0,96,869,1200,3
1589,238,0,0,96,869,1200,3
1590,238,0,0,96,869,1200,3
1591,238,0,0,96,869,1200,3
1592,238,0,0,96,869,1200,3
1593,238,0,0,96,869,1200,3
1594,238,0,0,96,869,1200,3
1595,238,0,0,96,869,1200,3
1596,238,0,0,96,869,1200,3
1597,238,0,0,96,869,1200,3
1598,238,0,0,96,869,1200,3
1599,238,0,0,96,869,1200,3
1600,238,0,0,96,869,1200,3
1601,238,0,0,96,869,1200,3
1602,238,0,0,96,869,1200,3
1603,238,0,0,96,869,1200,3
1604,238,0,0,96,869,1200,3
1605,238,0,0,96,869,1200,3
1606,238,0,0,96,869,1200,3
1607,238,0,0,96,869,1200,3
1608,238,0,0,96,869,1200,3
1609,238,0,0,96,869,1200,3
1610,238,0,0,96,869,1200,3
1611,238,0,0,96,869,1200,3
1612,238,0,0,96,869,1200,3
1613,238,0,0,96,869,1200,3
1614,238,0,0,96,869,1200,3
1615,238,0,0,96,869,1200,3
1616,238,0,0,96,869,1200,3
1617,238,0,0,96,869,1200,3
1618,238,0,0,96,869,1200,3
1619,238,0,0,96,869,1200,3
1620,238,0,0,96,869,1200,3
1621,238,0,0,96,869,1200,3
1622,238,0,0,96,869,1200,3
1623,238,0,0,96,869,1200,3
1624,238,0,0,96,869,1200,3
1625,238,0,0,96,869,1200,3
1626,238,0,0,96,869,1200,3
1627,238,0,0,96,869,1200,3
1628,238,0,0,96,869,1200,3
1629,238,0,0,96,869,1200,3
1630,238,0,0,96,869,1200,3
1631,238,0,0,96,869,1200,3
1632,238,0,0,96,869,1200,3
1633,238,0,0,96,869,1200,3
1634,238,0,0,96,869,1200,3
1635,238,0,0,96,869,1200,3
1636,238,0,0,96,869,1200,3
1637,238,0,0,96,869,1200,3
1638,238,0,0,96,869,1200,3
1639,238,0,0,96,869,1200,3
1640,238,0,0,96,869,1200,3
1641,238,0,0,96,869,1200,3
1642,238,0,0,96,869,1200,3
1643,238,0,0,96,869,1200,3
1644,238,0,0,96,869,1200,3
1645,238,0,0,96,869,1200,3
1646,238,0,0,96,869,1200,3
1647,238,0,0,96,869,1200,3
1648,238,0,0,96,869,1200,3
1649,238,0,0,96,869,1200,3
1650,238,0,0,96,869,1200,3
1651,238,0,0,96,869,1200,3
1652,238,0,0,96,869,1200,3
1653,238,0,0,96,869,1200,3
1654,238,0,0,96,869,1200,3
1655,238,0,0,96,869,1200,3
1656,238,0,0,96,869,1200,3
1657,238,0,0,96,869,1200,3
1658,238,0,0,96,869,1200,3
1659,238,0,0,96,869,1200,3
1660,238,0,0,96,869,1200,3
1661,238,0,0,96,869,1200,3
1662,238,0,0,96,869,1200,3
1663,238,0,0,96,869,1200,3
1664,238,0,0,96,869,1200,3
1665,238,0,0,96,869,1200,3
1666,238,0,0,96,869,1200,3
1667,238,0,0,96,869,1200,3
1668,238,0,0,96,869,1200,3
1669,238,0,0,96,869,1200,3
1670,238,0,0,96,869,1200,3
1671,238,0,0,96,869,1200,3
1672,238,0,0,96,869,1200,3
1673,238,0,0,96,869,1200,3
1674,238,0,0,96,869,1200,3
1675,238,0,0,96,869,1200,3
1676,238,0,0,96,869,1200,3
1677,238,0,0,96,869,1200,3
1678,238,0,0,96,869,1200,3
1679,238,0,0,96,869,1200,3
1680,238,0,0,96,869,1200,3
1681,238,0,0,96,869,1200,3
1682,238,0,0,96,869,1200,3
1683,238,0,0,96,869,1200,3
1684,238,0,0,96,869,1200,3
1685,238,0,0,96,869,1200,3
1686,238,0,0,96,869,1200,3
1687,238,0,0,96,869,1200,3
1688,238,0,0,96,869,1200,3
1689,238,0,0,96,869,1200,3
1690,238,0,0,96,869,1200,3
1691,238,0,0,96,869,1200,3
1692,238,0,0,96,869,1200,3
1693,238,0,0,96,869,1200,3
1694,238,0,0,96,869,1200,3
1695,238,0,0,96,869,1200,3
1696,238,0,0,96,869,1200,3
1697,238,0,0,96,869,1200,3
1698,238,0,0,96,869,1200,3
1699,238,0,0,96,869,1200,3
1700,238,0,0,96,869,1200,3
1701,238,0,0,96,869,1200,3
1702,238,0,0,96,869,1200,3
1703,238,0,0,96,869,1200,3
1704,238,0,0,96,869,1200,3
1705,238,0,0,96,869,1200,3
1706,238,0,0,96,869,1200,3
1707,238,0,0,96,869,1200,3
1708,238,0,0,96,869,1200,3
1709,238,0,0,96,869,1200,3
1710,238,0,0,96,869,1200,3
1711,238,0,0,96,869,1200,3
1712,238,0,0,96,869,1200,3
1713,238,0,0,96,869,1200,3
1714,238,0,0,96,869,1200,3
1715,238,0,0,96,869,1200,3
1716,238,0,0,96,869,1200,3
1717,238,0,0,96,869,1200,3
1718,238,0,0,96,869,1200,3
1719,238,0,0,96,869,1200,3
1720,238,0,0,96,869,1200,3
1721,238,0,0,96,869,1200,3
1722,238,0,0,96,869,1200,3
1723,238,0,0,96,869,1200,3
1724,238,0,0,96,869,1200,3
1725,238,0,0,96,869,1200,3
1726,238,0,0,96,869,1200,3
1727,238,0,0,96,869,1200,3
1728,238,0,0,96,869,1200,3
1729,238,0,0,96,869,1200,3
1730,238,0,0,96,869,1200,3
1731,238,0,0,96,869,1200,3
1732,238,0,0,96,869,1200,3
1733,238,0,0,96,869,1200,3
1734,238,0,0,96,869,1200,3
1735,238,0,0,96,869,1200,3
1736,238,0,0,96,869,1200,3
1737,238,0,0,96,869,1200,3
1738,238,0,0,96,869,1200,3
1739,238,0,0,96,869,1200,3
1740,238,0,0,96,869,1200,3
1741,238,0,0,96,869,1200,3
1742,238,0,0,96,869,1200,3
1743,238,0,0,96,869,1200,3
1744,238,0,0,96,869,1200,3
1745,238,0,0,96,869,1200,3
1746,238,0,0,96,869,1200,3
1747,238,0,0,96,869,1200,3
1748,238,0,0,96,869,1200,3
1749,238,0,0,96,869,1200,3
1750,238,0,0,96,869,1200,3
1751,238,0,0,96,869,1200,3
1752,238,0,0,96,869,1200,3
1753,238,0,0,96,869,1200,3
1754,238,0,0,96,869,1200,3
1755,238,0,0,96,869,1200,3
1756,238,0,0,96,869,1200,3
1757,238,0,0,96,869,1200,3
1758,238,0,0,96,869,1200,3
1759,238,0,0,96,869,1200,3
1760,238,0,0,96,869,1200,3
1761,238,0,0,96,869,1200,3
1762,238,0,0,96,869,1200,3
1763,238,0,0,96,869,1200,3
1764,238,0,0,96,869,1200,3
1765,238,0,0,96,869,1200,3
1766,238,0,0,96,869,1200,3
1767,238,0,0,96,869,1200,3
1768,238,0,0,96,869,1200,3
1769,238,0,0,96,869,1200,3
1770,238,0,0,96,869,1200,3
1771,238,0,0,96,869,1200,3
1772,238,0,0,96,869,1200,3
1773,238,0,0,96,869,1200,3
1774,238,0,0,96,869,1200,3
1775,238,0,0,96,869,1200,3
1776,238,0,0,96,869,1200,3
1777,238,0,0,96,869,1200,3
1778,238,0,0,96,869,1200,3
1779,238,0,0,96,869,1200,3
1780,238,0,0,96,869,1200,3
1781,238,0,0,96,869,1200,3
1782,238,0,0,96,869,1200,3
1783,238,0,0,96,869,1200,3
1784,238,0,0,96,869,1200,3
1785,238,0,0,96,869,1200,3
1786,238,0,0,96,869,1200,3
1787,238,0,0,96,869,1200,3
1788,238,0,0,96,869,1200,3
1789,238,0,0,96,869,1200,3
1790,238,0,0,96,869,1200,3
1791,238,0,0,96,869,1200,3
1792,238,0,0,96,869,1200,3
1793,238,0,0,96,869,1200,3
1794,238,0,0,96,869,1200,3
1795,238,0,0,96,869,1200,3
1796,238,0,0,96,869,1200,3
1797,238,0,0,96,869,1200,3
1798,238,0,0,96,869,1200,3
1799,238,0,0,96,869,1200,3
1800,238,0,0,96,869,1200,3
1801,238,0,0,96,869,1200,3
1802,238,0,0,96,869,1200,3
1803,238,0,0,96,869,1200,3
1804,238,0,0,96,869,1200,3
1805,238,0,0,96,869,1200,3
1806,238,0,0,96,869,1200,3
1807,238,0,0,96,869,1200,3
1808,238,0,0,96,869,1200,3
1809,238,0,0,96,869,1200,3
1810,238,0,0,96,869,1200,3
1811,238,0,0,96,869,1200,3
1812,238,0,0,96,869,1200,3
1813,238,0,0,96,869,1200,3
1814,238,0,0,96,869,1200,3
1815,238,0,0,96,869,1200,3
1816,238,0,0,96,869,1200,3
1817,238,0,0,96,869,1200,3
1818,238,0,0,96,869,1200,3
1819,238,0,0,96,869,1200,3
1820,238,0,0,96,869,1200,3
1821,238,0,0,96,869,1200,3
1822,238,0,0,96,869,1200,3
1823,238,0,0,96,869,1200,3
1824,238,0,0,96,869,1200,3
1825,238,0,0,96,869,1200,3
1826,238,0,0,96,869,1200,3
1827,238,0,0,96,869,1200,3
1828,238,0,0,96,869,1200,3
1829,238,0,0,96,869,1200,3
1830,238,0,0,96,869,1200,3
1831,238,0,0,96,869,1200,3
1832,238,0,0,96,869,1200,3
1833,238,0,0,96,869,1200,3
1834,238,0,0,96,869,1200,3
1835,238,0,0,96,869,1200,3
1836,238,0,0,96,869,1200,3
1837,238,0,0,96,869,1200,3
1838,238,0,0,96,869,1200,3
1839,238,0,0,96,869,1200,3
1840,238,0,0,96,869,1200,3
1841,238,0,0,96,869,1200,3
1842,238,0,0,96,869,1200,3
1843,238,0,0,96,869,1200,3
1844,238,0,0,96,869,1200,3
1845,238,0,0,96,869,1200,3
1846,238,0,0,96,869,1200,3
1847,238,0,0,96,869,1200,3
1848,238,0,0,96,869,1200,3
1849,238,0,0,96,869,1200,3
1850,238,0,0,96,869,1200,3
1851,238,0,0,96,869,1200,3
1852,238,0,0,96,869,1200,3
1853,238,0,0,96,869,1200,3
1854,238,0,0,96,869,1200,3
1855,238,0,0,96,869,1200,3
1856,238,0,0,96,869,1200,3
1857,238,0,0,96,869,1200,3
1858,238,0,0,96,869,1200,3
1859,238,0,0,96,869,1200,3
1860,238,0,0,96,869,1200,3
1861,238,0,0,96,869,1200,3
1862,238,0,0,96,869,1200,3
1863,238,0,0,96,869,1200,3
1864,238,0,0,96,869,1200,3
1865,238,0,0,96,869,1200,3
1866,238,0,0,96,869,1200,3
1867,238,0,0,96,869,1200,3
1868,238,0,0,96,869,1200,3
1869,238,0,0,96,869,1200,3
1870,238,0,0,96,869,1200,3
1871,238,0,0,96,869,1200,3
1872,238,0,0,96,869,1200,3
1873,238,0,0,96,869,1200,3
1874,238,0,0,96,869,1200,3
1875,238,0,0,96,869,1200,3
1876,238,0,0,96,869,1200,3
1877,238,0,0,96,869,1200,3
1878,238,0,0,96,869,1200,3
1879,238,0,0,96,869,1200,3
1880,238,0,0,96,869,1200,3
1881,238,0,0,96,869,1200,3
1882,238,0,0,96,869,1200,3
1883,238,0,0,96,869,1200,3
1884,238,0,0,96,869,1200,3
1885,238,0,0,96,869,1200,3
1886,238,0,0,96,869,1200,3
1887,238,0,0,96,869,1200,3
1888,238,0,0,96,869,1200,3
1889,238,0,0,96,869,1200,3
1890,238,0,0,96,869,1200,3
1891,238,0,0,96,869,1200,3
1892,238,0,0,96,869,1200,3
1893,238,0,0,96,869,1200,3
1894,238,0,0,96,869,1200,3
1895,238,0,0,96,869,1200,3
1896,238,0,0,96,869,1200,3
1897,238,0,0,96,869,1200,3
1898,238,0,0,96,869,1200,3
1899,238,0,0,96,869,1200,3
1900,238,0,0,96,869,1200,3
1901,238,0,0,96,869,1200,3
1902,238,0,0,96,869,1200,3
1903,238,0,0,96,869,1200,3
1904,238,0,0,96,869,1200,3
1905,238,0,0,96,869,1200,3
1906,238,0,0,96,869,1200,3
1907,238,0,0,96,869,1200,3
1908,238,0,0,96,869,1200,3
1909,238,0,0,96,869,1200,3
1910,238,0,0,96,869,1200,3
1911,238,0,0,96,869,1200,3
1912,238,0,0,96,869,1200,3
1913,238,0,0,96,869,1200,3
1914,238,0,0,96,869,1200,3
1915,238,0,0,96,869,1200,3
1916,238,0,0,96,869,1200,3
1917,238,0,0,96,869,1200,3
1918,238,0,0,96,869,1200,3
1919,238,0,0,96,869,1200,3
1920,238,0,0,96,869,1200,3
1921,238,0,0,96,869,1200,3
1922,238,0,0,96,869,1200,3
1923,238,0,0,96,869,1200,3
1924,238,0,0,96,869,1200,3
1925,238,0,0,96,869,1200,3
1926,238,0,0,96,869,1200,3
1927,238,0,0,96,869,1200,3
1928,238,0,0,96,869,1200,3
1929,238,0,0,96,869,1200,3
1930,238,0,0,96,869,1200,3
1931,238,0,0,96,869,1200,3
1932,238,0,0,96,869,1200,3
1933,238,0,0,96,869,1200,3
1934,238,0,0,96,869,1200,3
1935,238,0,0,96,869,1200,3
1936,238,0,0,96,869,1200,3
1937,238,0,0,96,869,1200,3
1938,238,0,0,96,869,1200,3
1939,238,0,0,96,869,1200,3
1940,238,0,0,96,869,1200,3
1941,238,0,0,96,869,1200,3
1942,238,0,0,96,869,1200,3
1943,238,0,0,96,869,1200,3
1944,238,0,0,96,869,1200,3
1945,238,0,0,96,869,1200,3
1946,238,0,0,96,869,1200,3
1947,238,0,0,96,869,1200,3
1948,238,0,0,96,869,1200,3
1949,238,0,0,96,869,1200,3
1950,238,0,0,96,869,1200,3
1951,238,0,0,96,869,1200,3
1952,238,0,0,96,869,1200,3
1953,238,0,0,96,869,1200,3
1954,238,0,0,96,869,1200,3
1955,238,0,0,96,869,1200,3
1956,238,0,0,96,869,1200,3
1957,238,0,0,96,869,1200,3
1958,238,0,0,96,869,1200,3
1959,238,0,0,96,869,1200,3
1960,238,0,0,96,869,1200,3
1961,238,0,0,96,869,1200,3
1962,238,0,0,96,869,1200,3
1963,238,0,0,96,869,1200,3
1964,238,0,0,96,869,1200,3
1965,238,0,0,96,869,1200,3
1966,238,0,0,96,869,1200,3
1967,238,0,0,96,869,1200,3
1968,238,0,0,96,869,1200,3
1969,238,0,0,96,869,1200,3
1970,238,0,0,96,869,1200,3
1971,238,0,0,96,869,1200,3
1972,238,0,0,96,869,1200,3
1973,238,0,0,96,869,1200,3
1974,238,0,0,96,869,1200,3
1975,238,0,0,96,869,1200,3
1976,238,0,0,96,869,1200,3
1977,238,0,0,96,869,1200,3
1978,238,0,0,96,869,1200,3
1979,238,0,0,96,869,1200,3
1980,238,0,0,96,869,1200,3
1981,238,0,0,96,869,1200,3
1982,238,0,0,96,869,1200,3
1983,238,0,0,96,869,1200,3
1984,238,0,0,96,869,1200,3
1985,238,0,0,96,869,1200,3
1986,238,0,0,96,869,1200,3
1987,238,0,0,96,869,1200,3
1988,238,0,0,96,869,1200,3
1989,238,0,0,96,869,1200,3
1990,238,0,0,96,869,1200,3
1991,238,0,0,96,869,1200,3
1992,238,0,0,96,869,1200,3
1993,238,0,0,96,869,1200,3
1994,238,0,0,96,869,1200,3
1995,238,0,0,96,869,1200,3
1996,238,0,0,96,869,1200,3
1997,238,0,0,96,869,1200,3
1998,238,0,0,96,869,1200,3
1999,238,0,0,96,869,1200,3
